Id,lenm,cols,rows,cole,rowe
1,506,4421,483,4421,485
2,31,4387,478,4387,478
3,515,4442,514,4442,516
4,217,4483,529,4483,530
5,164,4498,500,4499,500
6,31,4506,475,4506,475
7,370,4503,572,4502,572
8,372,4567,621,4566,621
9,346,4577,675,4577,676
10,347,4588,729,4588,729
11,292,4623,787,4622,787
12,183,4636,801,4636,801
13,142,4688,816,4688,816
14,203,4613,869,4613,869
15,221,4602,881,4601,881
16,165,4529,954,4529,954
17,303,4888,791,4888,791
18,111,4885,837,4885,837
19,54,4909,958,4909,958
20,385,4990,864,4989,864
21,249,4975,913,4974,913
22,92,4975,935,4974,935
23,152,4967,936,4967,935
24,391,5132,933,5132,933
25,230,5110,999,5110,999
26,299,5163,1009,5162,1009
27,230,5152,1038,5152,1038
28,71,5124,1101,5124,1101
29,333,5092,1056,5092,1056
30,164,5085,1062,5085,1062
31,153,5070,1078,5070,1078
32,59,4999,1062,4999,1062
33,57,4993,1113,4993,1113
34,82,5267,1209,5267,1209
35,53,5292,1301,5292,1301
36,20,5259,1335,5259,1335
37,56,5228,1339,5228,1339
38,416,4965,1394,4966,1394
39,426,4941,1473,4942,1473
40,450,4871,1351,4872,1351
41,271,4866,1439,4866,1439
42,515,4865,1471,4865,1470
43,406,4861,1516,4860,1516
44,410,4850,1537,4849,1537
45,316,4777,1408,4778,1408
46,259,4607,1298,4607,1298
47,126,4562,1493,4562,1493
48,40,4536,1512,4536,1512
49,232,4523,1558,4523,1558
50,216,4560,1600,4560,1600
51,237,4504,1603,4504,1603
52,190,4526,1641,4526,1641
53,405,4490,1673,4490,1674
54,353,4460,1645,4461,1645
55,51,4393,1484,4393,1484
56,122,4439,1465,4439,1465
57,551,4381,1397,4381,1398
58,87,4263,1456,4263,1456
59,237,4274,1426,4274,1426
60,211,4289,1406,4289,1406
61,42,4299,1413,4299,1413
62,127,4313,1387,4313,1387
63,85,4272,1364,4272,1364
64,907,4334,1378,4334,1381
65,113,4392,1342,4392,1342
66,94,4387,1305,4387,1305
67,836,4382,1281,4384,1281
68,814,4429,1234,4432,1234
69,145,4495,1172,4495,1172
70,643,4443,1171,4445,1171
71,72,4373,991,4373,991
72,62,4384,1002,4384,1002
73,61,4404,1029,4404,1029
74,18,4418,1033,4418,1033
75,183,4485,1055,4485,1055
76,155,4524,1096,4524,1096
77,96,4626,1159,4626,1159
78,173,4668,1129,4668,1129
79,157,4690,1013,4690,1013
80,101,4610,1121,4610,1122
81,149,4601,1113,4601,1113
82,153,4600,1081,4600,1081
83,79,4599,1068,4599,1068
84,229,4595,1067,4595,1067
85,144,4622,1062,4622,1062
86,326,4614,1049,4614,1049
87,106,4586,1044,4586,1044
88,278,4569,1073,4569,1073
89,642,4475,1113,4475,1115
90,782,4451,1132,4453,1132
91,67,4139,1542,4139,1542
92,166,4082,1494,4082,1494
93,70,4032,1536,4032,1536
94,186,4009,1530,4009,1530
